Customer ID,Age,Buying Price(S),Gender,,
1612199,22,7.25,Male,,
1612227,38,71.2833,,,
1612211,26,7.925,Female,,
1612198,35,53.1,,,
1612204,35,8.05,Male,,
1612211,,8.4583,Male,,
1612222,54,51.8625,Male,,
1612211,2,21.075,Male,,
1612208,27,11.1333,Female,,
1612212,14,30.0708,Female,,
1612212,4,16.7,Female,,
1612230,58,26.55,Male,,
1612197,20,8.05,Female,,
1612220,39,31.275,Female,,
1612223,14,7.8542,Male,,
1612230,55,16,,,
1612212,2,29.125,,,
1612199,,13,Female,,
1612214,31,18,Male,,
1612217,,7.225,Female,,
1612223,35,26,Male,,
1612227,34,13,,,
1612220,15,8.0292,Male,,
1612219,28,35.5,,,
1612208,8,21.075,Male,,
1612223,38,31.3875,Male,,
1612216,,7.225,Female,,
1612209,19,263,Female,,
1612211,,7.8792,Female,,
1612196,,7.8958,Male,,
1612204,40,27.7208,Male,,
1612205,,146.5208,Female,,
1612227,,7.75,,,
1612208,66,10.5,,,
1612206,28,82.1708,,,
1612211,42,52,,,
1612213,,7.2292,,,
1612196,21,8.05,,,
1612227,18,18,,,
1612199,14,11.2417,,,
1612213,40,,,,
1612202,27,21,Female,,
1612198,,7.8958,Female,,
1612217,3,41.5792,Female,,
1612216,19,7.8792,Female,,
1612204,,8.05,Male,,
1612211,,15.5,Male,,
1612221,,7.75,Male,,
1612225,,21.6792,Male,,
1612211,18,17.8,Male,,
1612207,7,39.6875,Male,,
1612220,21,7.8,Male,,
1612216,49,76.7292,Male,,
1612224,29,26,Male,,
1612214,65,61.9792,Male,,
1612205,,35.5,Male,,
1612205,21,10.5,Male,,
1612220,28.5,7.2292,Male,,
1612205,5,27.75,Male,,
1612195,11,46.9,Male,,
1612225,22,7.2292,Male,,
1612212,38,80,Male,,
1612220,45,83.475,Male,,
1612221,4,27.9,Male,,
1612229,,27.7208,Male,,
1612201,,15.2458,Male,,
1612217,29,10.5,Male,,
1612199,19,8.1583,Male,,
1612221,17,7.925,Male,,
1612202,26,8.6625,Male,,
1612230,32,10.5,Male,,
1612215,16,46.9,Male,,
1612230,21,73.5,Male,,
1612214,26,14.4542,Male,,
1612214,32,56.4958,Male,,
1612228,25,7.65,Male,,
1612210,,7.8958,Male,,
1612229,,8.05,Male,,
1612207,0.83,29,Male,,
1612206,30,12.475,Male,,
1612224,22,9,Male,,
1612227,29,9.5,Male,,
1612195,,,Male,,
1612204,28,47.1,Male,,
1612220,17,10.5,Male,,
1612195,33,15.85,Male,,
1612206,16,34.375,Male,,
1612211,,8.05,Male,,
1612225,23,263,Male,,
1612208,24,8.05,Male,,
1612218,29,8.05,Male,,
1612220,20,7.8542,Male,,
1612217,46,61.175,Male,,
1612199,26,20.575,Male,,
1612227,59,7.25,Male,,
1612212,,8.05,Male,,
1612211,71,34.6542,Male,,
1612224,23,63.3583,Male,,
1612197,34,,Male,,
1612204,34,26,Male,,
1612207,28,7.8958,Male,,
1612213,,7.8958,Male,,
1612210,21,77.2875,Male,,
1612228,33,8.6542,Male,,
1612207,37,7.925,Male,,
1612219,28,7.8958,Male,,
1612203,21,7.65,Male,,
1612196,,7.775,Male,,
1612201,38,7.8958,Male,,
1612229,,24.15,Male,,
1612221,47,52,Male,,
1612230,14.5,14.4542,Male,,
1612226,22,8.05,Male,,
1612206,20,9.825,Male,,
1612220,17,14.4583,Male,,
1612228,21,7.925,Male,,
1612220,70.5,7.75,Male,,
1612213,29,21,Male,,
1612206,24,247.5208,Male,,
1612223,2,31.275,Male,,
1612202,21,73.5,Male,,
1612209,,8.05,Male,,
1612212,32.5,30.0708,Male,,
1612201,32.5,13,Male,,
1612216,54,77.2875,Male,,
1612213,12,11.2417,Male,,
1612208,,7.75,Male,,
1612205,24,7.1417,Male,,
1612225,,22.3583,Male,,
1612216,45,6.975,Male,,
1612216,33,7.8958,Male,,
1612227,20,7.05,Male,,
1612214,47,14.5,Male,,
1612211,29,,Male,,
1612217,25,13,Male,,
1612209,23,15.0458,Male,,
1612206,19,26.2833,Male,,
1612217,37,53.1,Male,,
1612205,16,9.2167,Male,,
1612216,24,79.2,Male,,
1612201,,15.2458,Male,,
1612205,22,7.75,Male,,
1612223,24,15.85,Male,,
1612198,19,6.75,Male,,
1612217,18,11.5,Male,,
1612229,19,36.75,Male,,
1612212,27,7.7958,Male,,
1612219,9,34.375,Male,,
1612227,36.5,26,Male,,
1612218,42,13,Male,,
1612221,51,12.525,Male,,
1612221,22,66.6,Male,,
1612201,55.5,8.05,Male,,
1612200,40.5,14.5,Male,,
1612202,,7.3125,Male,,
1612219,51,61.3792,Male,,
1612199,16,7.7333,Male,,
1612201,30,8.05,Male,,
1612214,,8.6625,Male,,
1612209,,69.55,Male,,
1612210,44,16.1,Male,,
1612207,40,15.75,Male,,
1612198,26,,Male,,
1612217,17,8.6625,Male,,
1612204,1,39.6875,Male,,
1612208,9,20.525,Male,,
1612216,,55,Male,,
1612213,45,27.9,Male,,
1612230,,25.925,Male,,
1612216,28,56.4958,Male,,
1612201,61,33.5,Male,,
1612222,4,29.125,Male,,
1612215,1,11.1333,Male,,
1612204,21,7.925,Male,,
1612230,56,30.6958,Male,,
1612221,18,7.8542,Male,,
1612225,,25.4667,Male,,
1612230,50,28.7125,Male,,
1612204,30,13,Male,,
1612209,36,0,Male,,
1612211,,69.55,Male,,
1612224,,15.05,Male,,
1612216,9,31.3875,Male,,
1612199,1,39,Male,,
1612214,4,22.025,Male,,
1612214,,50,Male,,
1612196,,15.5,Male,,
1612206,45,26.55,Male,,
1612212,40,15.5,Male,,
1612220,36,7.8958,Male,,
1612219,32,13,Male,,
1612195,19,13,Male,,
1612215,19,7.8542,Male,,
1612225,3,26,Male,,
1612223,44,,Male,,
1612216,58,146.5208,Male,,
1612205,,7.75,Male,,
1612208,42,8.4042,Male,,
1612211,,7.75,Male,,
1612203,24,13,Male,,
1612211,28,9.5,Male,,
1612224,,69.55,Male,,
1612223,34,6.4958,Male,,
1612216,45.5,7.225,Male,,
1612216,18,8.05,Male,,
1612207,2,10.4625,Male,,
1612214,32,15.85,Male,,
1612211,26,18.7875,Male,,
1612197,16,7.75,Male,,
1612228,40,31,Male,,
1612196,24,7.05,Male,,
1612198,35,,Male,,
1612219,22,7.25,Male,,
1612224,30,13,Male,,
1612196,,7.75,Male,,
1612225,31,113.275,Male,,
1612228,27,7.925,Female,,
1612212,42,27,Male,,
1612220,32,76.2917,Male,,
1612221,30,10.5,Female,,
1612216,16,8.05,Male,,
1612225,27,13,Male,,
1612215,51,8.05,Male,,
1612203,,7.8958,Female,,
1612220,38,90,Male,,
1612225,22,9.35,Male,,
1612217,19,10.5,Male,,
1612195,20.5,7.25,Male,,
1612210,18,13,Male,,
1612211,,,Male,,
1612215,35,83.475,Male,,
1612220,29,7.775,Male,,
1612225,59,13.5,Male,,
1612224,5,31.3875,Male,,
1612230,24,10.5,Male,,
1612197,,7.55,Male,,
1612229,44,26,Male,,
1612200,8,26.25,Male,,
1612219,19,10.5,Male,,
1612212,33,12.275,Male,,
1612214,,14.4542,Male,,
1612198,,15.5,Male,,
1612220,29,10.5,Male,,
1612207,22,7.125,Male,,
1612228,30,7.225,Male,,
1612227,44,90,Male,,
1612218,25,7.775,Male,,
1612216,24,14.5,Male,,
1612199,37,52.5542,Male,,
1612226,54,26,Male,,
1612212,,7.25,Male,,
1612219,29,,Male,,
1612211,62,26.55,Male,,
1612197,30,16.1,Male,,
1612205,41,20.2125,Male,,
1612221,29,15.2458,Male,,
1612223,,79.2,Male,,
1612214,30,86.5,Male,,
1612222,35,512.3292,Male,,
1612225,50,,Male,,
1612205,,7.75,Male,,
1612195,3,31.3875,Male,,
1612226,52,79.65,Male,,
1612228,40,0,Male,,
1612199,,7.75,Male,,
1612216,36,10.5,Male,,
1612227,16,,Male,,
1612198,25,7.775,Male,,
1612226,58,153.4625,Male,,
1612222,35,135.6333,Male,,
1612229,,31,Male,,
1612219,25,,Male,,
1612224,41,19.5,Male,,
1612223,37,29.7,Male,,
1612206,,7.75,Male,,
1612223,63,77.9583,Male,,
1612214,45,7.75,Male,,
1612215,,0,Male,,
1612199,7,29.125,Male,,
1612225,35,20.25,Male,,
1612207,65,7.75,Male,,
1612213,28,,Male,,
1612203,16,9.5,Male,,
1612201,19,8.05,Male,,
1612222,,26,Male,,
1612220,33,8.6625,Male,,
1612224,30,9.5,Male,,
1612207,22,7.8958,Male,,
1612218,42,13,Male,,
1612202,22,7.75,Male,,
1612205,26,78.85,Male,,
1612214,19,91.0792,Male,,
1612215,36,12.875,Male,,
1612197,24,8.85,Male,,
1612226,24,7.8958,Male,,
1612195,,27.7208,Male,,
1612201,23.5,7.2292,Male,,
1612207,2,151.55,Male,,
1612226,,30.5,Male,,
1612200,50,247.5208,Male,,
1612196,,7.75,Male,,
1612217,,23.25,Male,,
1612210,19,0,Male,,
1612228,,12.35,Male,,
1612206,,8.05,Male,,
1612208,0.92,,Male,,
1612221,,110.8833,Male,,
1612204,17,108.9,Male,,
1612201,30,24,Male,,
1612197,30,56.9292,Male,,
1612220,24,83.1583,Male,,
1612229,18,262.375,Male,,
1612212,26,26,Male,,
1612198,28,7.8958,Male,,
1612202,43,26.25,Male,,
1612222,26,7.8542,Male,,
1612213,24,,Male,,
1612210,54,14,Male,,
1612206,31,164.8667,Male,,
1612196,40,134.5,Male,,
1612227,22,7.25,Male,,
1612214,27,7.8958,Male,,
1612195,30,12.35,Male,,
1612217,22,29,Male,,
1612208,,69.55,Male,,
1612198,36,135.6333,Male,,
1612205,61,6.2375,Male,,
1612199,36,,Male,,
1612229,31,20.525,Male,,
1612222,16,57.9792,Male,,
1612215,,23.25,Male,,
1612226,45.5,28.5,Male,,
1612216,38,153.4625,Male,,
1612199,16,18,Male,,
1612207,,133.65,Male,,
1612223,,7.8958,Male,,
1612215,29,,Male,,
1612215,41,134.5,Male,,
1612226,45,8.05,Male,,
1612212,45,35.5,Male,,
1612222,2,26,Male,,
1612216,24,263,Male,,
1612226,28,13,Male,,
1612221,25,13,Male,,
1612216,36,13,Male,,
1612197,24,13,Male,,
1612226,40,13,Male,,
1612209,,16.1,Male,,
1612206,3,15.9,Male,,
1612197,42,8.6625,Male,,
1612214,23,9.225,Male,,
1612219,,35,Male,,
1612222,15,7.2292,Male,,
1612206,25,17.8,Male,,
1612203,,7.225,Male,,
1612209,28,,Male,,
1612217,22,55,Male,,
1612196,38,13,Male,,
1612217,,7.8792,Male,,
1612223,,7.8792,Male,,
1612212,40,27.9,Male,,
1612201,29,27.7208,Male,,
1612220,45,14.4542,Male,,
1612216,35,7.05,Male,,
1612211,,15.5,Male,,
1612207,30,7.25,Male,,
1612200,60,75.25,Male,,
1612206,,7.2292,Male,,
1612196,,7.75,Male,,
1612202,24,69.3,Male,,
1612221,25,55.4417,Male,,
1612206,18,6.4958,Male,,
1612217,19,8.05,Male,,
1612228,22,,Male,,
1612218,3,21.075,Male,,
1612211,,82.1708,Male,,
1612222,22,7.25,Male,,
1612210,27,211.5,Male,,
1612202,20,,Male,,
1612196,19,7.775,Male,,
1612211,42,227.525,Male,,
1612201,1,15.7417,Male,,
1612202,32,7.925,Male,,
1612229,35,52,Male,,
1612221,,7.8958,Male,,
1612228,18,73.5,Male,,
1612229,1,46.9,Male,,
1612201,36,13,Male,,
1612205,,7.7292,Male,,
1612224,17,12,Male,,
1612208,36,120,Male,,
1612205,21,7.7958,Male,,
1612227,28,7.925,Male,,
1612198,23,113.275,Male,,
1612206,24,16.7,Male,,
1612220,22,7.7958,Male,,
1612227,31,7.8542,Male,,
1612230,46,26,Male,,
1612199,23,10.5,Male,,
1612219,28,12.65,Male,,
1612205,39,,Male,,
1612215,26,8.05,Male,,
1612209,21,9.825,Male,,
1612208,28,15.85,Male,,
1612230,20,8.6625,Male,,
1612197,34,21,Male,,
1612227,51,7.75,Male,,
1612208,3,18.75,Male,,
1612220,21,7.775,Male,,
1612223,,25.4667,Male,,
1612222,,7.8958,Male,,
1612201,,6.8583,Male,,
1612203,33,90,Male,,
1612223,,0,Male,,
1612220,44,7.925,Male,,
1612195,,8.05,Male,,
1612200,34,32.5,Male,,
1612227,18,13,Male,,
1612201,30,,Male,,
1612207,10,24.15,Male,,
1612213,,7.8958,Male,,
1612221,21,7.7333,Male,,
1612202,29,7.875,Male,,
1612199,28,14.4,Male,,
1612217,18,20.2125,Male,,
1612222,,7.25,Male,,
1612219,28,26,Male,,
1612216,19,26,Male,,
1612209,,7.75,Male,,
1612212,32,,Male,,
1612229,28,26.55,Male,,
1612214,,16.1,Male,,
1612221,42,26,Male,,
1612207,17,7.125,Male,,
1612230,50,,Male,,
1612210,14,120,Male,,
1612217,21,34.375,Male,,
1612214,24,18.75,Male,,
1612206,64,263,Male,,
1612210,31,10.5,Male,,
1612228,45,26.25,Male,,
1612229,20,9.5,Male,,
1612207,25,7.775,Male,,
1612205,28,13,Male,,
1612207,,8.1125,Male,,
1612229,4,81.8583,Male,,
1612228,13,19.5,Male,,
1612196,34,26.55,Male,,
1612199,5,19.2583,Male,,
1612223,52,30.5,Male,,
1612230,36,27.75,Male,,
1612197,,19.9667,Male,,
1612228,30,27.75,Male,,
1612201,49,89.1042,Male,,
1612224,,8.05,Male,,
1612213,29,7.8958,Male,,
1612228,65,26.55,Male,,
1612205,,51.8625,Male,,
1612204,50,10.5,Male,,
1612207,,7.75,Male,,
1612200,48,26.55,Male,,
1612227,34,8.05,Male,,
1612215,47,38.5,Male,,
1612204,48,13,Male,,
1612223,,8.05,Male,,
1612230,38,7.05,Male,,
1612208,,,Male,,
1612206,56,26.55,Male,,
1612220,,7.725,Male,,
1612211,0.75,,Male,,
1612218,,7.25,Male,,
1612211,38,8.6625,Male,,
1612202,33,27.75,Male,,
1612219,23,13.7917,Male,,
1612215,22,9.8375,Male,,
1612226,,52,Male,,
1612214,34,21,Male,,
1612218,29,7.0458,Male,,
1612224,22,7.5208,Male,,
1612216,2,12.2875,Male,,
1612209,9,46.9,Male,,
1612217,,0,Male,,
1612218,50,8.05,Male,,
1612220,63,9.5875,Male,,
1612202,25,91.0792,Male,,
1612212,,25.4667,Male,,
1612212,35,90,Male,,
1612219,58,29.7,Male,,
1612222,30,8.05,Male,,
1612208,9,15.9,Male,,
1612203,,,Male,,
1612207,21,7.25,Male,,
1612209,55,30.5,Male,,
1612200,71,49.5042,Male,,
1612198,21,8.05,Male,,
1612218,,14.4583,Male,,
1612202,54,78.2667,Male,,
1612199,,15.1,Male,,
1612218,25,151.55,Male,,
1612195,24,7.7958,Male,,
1612198,17,8.6625,Male,,
1612206,21,7.75,Male,,
1612202,,7.6292,Male,,
1612227,37,9.5875,Male,,
1612219,16,86.5,Male,,
1612212,18,108.9,Male,,
1612227,33,26,Male,,
1612216,,26.55,Male,,
1612203,28,22.525,Male,,
1612211,26,56.4958,Male,,
1612219,29,7.75,Male,,
1612196,,8.05,Male,,
1612230,36,26.2875,Male,,
1612211,54,,Male,,
1612218,24,7.4958,Male,,
1612209,47,34.0208,Male,,
1612207,34,10.5,Male,,
1612213,,24.15,Male,,
1612203,36,,Male,,
1612224,32,7.8958,Male,,
1612229,30,,Male,,
1612210,22,,Male,,
1612230,,7.225,Male,,
1612210,44,57.9792,Male,,
1612224,,7.2292,Male,,
1612218,40.5,7.75,Male,,
1612206,50,10.5,Male,,
1612226,,221.7792,Male,,
1612209,39,7.925,Male,,
1612223,23,11.5,Male,,
1612224,2,26,Male,,
1612202,,7.2292,Male,,
1612196,17,7.2292,Male,,
1612213,,22.3583,Male,,
1612200,30,8.6625,Male,,
1612214,7,26.25,Male,,
1612199,45,26.55,Male,,
1612222,30,106.425,Male,,
1612199,,14.5,Male,,
1612198,22,49.5,Male,,
1612228,36,71,Male,,
1612213,9,31.275,Male,,
1612225,11,31.275,Male,,
1612227,32,26,Male,,
1612224,50,106.425,Male,,
1612226,64,26,Male,,
1612205,19,26,Male,,
1612206,,13.8625,Male,,
1612218,33,20.525,Male,,
1612195,8,36.75,Male,,
1612211,17,110.8833,Male,,
1612227,27,26,Male,,
1612224,,7.8292,Male,,
1612230,22,7.225,Male,,
1612212,22,7.775,Male,,
1612222,62,26.55,Male,,
1612208,48,39.6,Male,,
1612199,,227.525,Male,,
1612195,39,79.65,Male,,
1612210,36,17.4,Male,,
1612212,,7.75,Male,,
1612217,40,7.8958,Male,,
1612214,28,,Male,,
1612200,,8.05,Male,,
1612212,,8.05,Male,,
1612198,24,24.15,Male,,
1612219,19,7.8958,Male,,
1612210,29,21.075,Male,,
1612202,,7.2292,Male,,
1612218,32,7.8542,Male,,
1612216,62,10.5,Male,,
1612209,53,51.4792,Male,,
1612209,36,26.3875,Male,,
1612202,,7.75,Male,,
1612202,16,8.05,Male,,
1612215,19,14.5,Male,,
1612217,34,13,Male,,
1612221,39,55.9,Male,,
1612225,,14.4583,Male,,
1612201,32,7.925,Male,,
1612205,25,30,Male,,
1612220,39,110.8833,Male,,
1612195,54,26,Male,,
1612226,36,40.125,Male,,
1612221,,8.7125,Male,,
1612209,18,79.65,Male,,
1612222,47,15,Male,,
1612196,60,79.2,Male,,
1612197,22,8.05,Male,,
1612204,,8.05,Male,,
1612203,35,7.125,Male,,
1612225,52,78.2667,Male,,
1612227,47,7.25,Male,,
1612209,,7.75,Male,,
1612219,37,26,Male,,
1612213,36,24.15,Male,,
1612220,,33,Male,,
1612221,49,0,Male,,
1612198,,7.225,Male,,
1612206,49,56.9292,Male,,
1612200,24,27,Male,,
1612199,,7.8958,Male,,
1612199,,42.4,Male,,
1612202,44,8.05,Male,,
1612222,35,26.55,Male,,
1612229,36,15.55,Male,,
1612202,30,7.8958,Male,,
1612218,27,30.5,Male,,
1612208,22,41.5792,Male,,
1612229,40,153.4625,Male,,
1612218,39,31.275,Male,,
1612206,,7.05,Male,,
1612214,,15.5,Male,,
1612204,,7.75,Male,,
1612202,35,8.05,Male,,
1612220,24,65,Male,,
1612225,34,14.4,Male,,
1612201,26,16.1,Male,,
1612224,4,39,Male,,
1612205,26,10.5,Male,,
1612206,27,14.4542,Male,,
1612203,42,52.5542,Male,,
1612213,20,15.7417,Male,,
1612198,21,7.8542,Male,,
1612197,21,16.1,Male,,
1612200,61,32.3208,Male,,
1612212,57,12.35,Male,,
1612221,21,77.9583,Male,,
1612213,26,7.8958,Male,,
1612222,,7.7333,Male,,
1612225,80,30,Male,,
1612214,51,7.0542,Male,,
1612208,32,30.5,Male,,
1612207,,,Male,,
1612217,9,27.9,Male,,
1612213,28,13,Male,,
1612230,32,7.925,Male,,
1612211,31,26.25,Male,,
1612211,41,39.6875,Male,,
1612210,,16.1,Male,,
1612213,20,7.8542,Male,,
1612229,24,69.3,Male,,
1612223,2,27.9,Male,,
1612228,,56.4958,Male,,
1612210,0.75,19.2583,Male,,
1612205,48,76.7292,Male,,
1612208,19,7.8958,Male,,
1612201,56,35.5,Male,,
1612206,,7.55,Male,,
1612228,23,,Male,,
1612220,,7.8958,Male,,
1612228,18,23,Male,,
1612196,21,8.4333,Male,,
1612204,,7.8292,Male,,
1612198,18,6.75,Male,,
1612226,24,73.5,Male,,
1612199,,7.8958,Male,,
1612211,32,15.5,Male,,
1612221,23,13,Male,,
1612216,58,113.275,Male,,
1612216,50,133.65,Male,,
1612221,40,7.225,Male,,
1612204,47,,Male,,
1612197,36,7.4958,Male,,
1612207,20,7.925,Male,,
1612220,32,73.5,Male,,
1612214,25,13,Male,,
1612218,,7.775,Male,,
1612225,43,8.05,Male,,
1612204,,52,Male,,
1612214,40,39,Male,,
1612207,31,52,Male,,
1612210,70,10.5,Male,,
1612228,31,,Male,,
1612210,,0,Male,,
1612215,18,7.775,Male,,
1612206,24.5,8.05,Male,,
1612218,18,9.8417,Male,,
1612222,43,46.9,Male,,
1612219,36,512.3292,Male,,
1612220,,8.1375,Male,,
1612219,27,76.7292,Male,,
1612204,20,9.225,Male,,
1612195,14,46.9,Male,,
1612206,60,39,Male,,
1612228,25,41.5792,Male,,
1612206,14,39.6875,Male,,
1612208,19,10.1708,Male,,
1612198,18,7.7958,Male,,
1612225,15,211.3375,Male,,
1612206,31,57,Male,,
1612203,4,13.4167,Male,,
1612230,,56.4958,Male,,
1612222,25,7.225,Male,,
1612226,60,26.55,Male,,
1612223,52,13.5,Male,,
1612212,44,8.05,Male,,
1612223,,7.7333,Male,,
1612222,49,,Male,,
1612221,42,7.65,Male,,
1612198,18,227.525,Male,,
1612212,35,26.2875,Male,,
1612221,18,,Male,,
1612200,25,7.7417,Male,,
1612209,26,7.8542,Male,,
1612201,39,26,Male,,
1612210,45,13.5,Male,,
1612228,42,26.2875,Male,,
1612216,22,151.55,Male,,
1612229,,15.2458,Male,,
1612213,24,49.5042,Male,,
1612211,,26.55,Male,,
1612205,48,52,Male,,
1612209,29,9.4833,Male,,
1612199,52,13,Male,,
1612210,19,7.65,Male,,
1612220,38,227.525,Male,,
1612216,27,10.5,Male,,
1612213,,15.5,Male,,
1612228,33,7.775,Male,,
1612214,6,33,Male,,
1612219,17,7.0542,Male,,
1612207,34,13,Male,,
1612207,50,13,Male,,
1612213,27,53.1,Male,,
1612214,20,8.6625,Male,,
1612229,30,21,Male,,
1612201,,7.7375,Male,,
1612221,25,26,Male,,
1612210,25,7.925,Male,,
1612209,29,211.3375,Male,,
1612199,11,18.7875,Male,,
1612225,,0,Male,,
1612197,23,13,Male,,
1612205,23,13,Male,,
1612208,28.5,16.1,Male,,
1612225,48,34.375,Male,,
1612196,35,512.3292,Male,,
1612201,,7.8958,Male,,
1612201,,7.8958,Male,,
1612213,,30,Male,,
1612204,36,78.85,Male,,
1612217,21,262.375,Male,,
1612199,24,16.1,Male,,
1612225,31,7.925,Male,,
1612226,70,71,Male,,
1612217,16,20.25,Male,,
1612201,30,13,Male,,
1612204,19,53.1,Male,,
1612203,31,7.75,Male,,
1612209,4,23,Male,,
1612197,6,12.475,Male,,
1612195,33,9.5,Male,,
1612199,23,7.8958,Male,,
1612206,48,65,Male,,
1612197,0.67,14.5,Male,,
1612198,28,7.7958,Male,,
1612228,18,11.5,Male,,
1612215,34,8.05,Male,,
1612211,33,86.5,Male,,
1612215,,14.5,Male,,
1612213,41,7.125,Male,,
1612201,20,7.2292,Male,,
1612214,36,,Male,,
1612224,16,7.775,Male,,
1612204,51,77.9583,Male,,
1612198,,39.6,Male,,
1612198,30.5,7.75,Male,,
1612205,,24.15,Male,,
1612230,32,8.3625,Male,,
1612213,24,9.5,Male,,
1612211,48,7.8542,Male,,
1612217,57,10.5,Male,,
1612213,,7.225,Male,,
1612221,54,23,Male,,
1612217,18,7.75,Male,,
1612219,,7.75,Male,,
1612211,5,12.475,Male,,
1612220,,7.7375,Male,,
1612204,43,211.3375,Male,,
1612212,13,7.2292,Male,,
1612197,17,57,Male,,
1612206,29,30,Male,,
1612221,,23.45,Male,,
1612200,25,7.05,Male,,
1612201,25,7.25,Male,,
1612226,18,7.4958,Male,,
1612204,8,29.125,Male,,
1612219,1,20.575,Male,,
1612214,46,79.2,Male,,
1612219,,7.75,Male,,
1612219,16,26,Male,,
1612205,,69.55,Male,,
1612224,,30.6958,Male,,
1612202,25,7.8958,Male,,
1612221,39,13,Male,,
1612199,49,25.9292,Male,,
1612222,31,8.6833,Male,,
1612215,30,7.2292,Male,,
1612203,30,24.15,Male,,
1612200,34,13,Male,,
1612223,31,26.25,Male,,
1612204,11,120,Male,,
1612203,0.42,8.5167,Male,,
1612220,27,6.975,Male,,
1612212,31,7.775,Male,,
1612199,39,0,Male,,
1612218,18,7.775,Male,,
1612219,39,13,Male,,
1612199,33,53.1,Male,,
1612213,26,7.8875,Male,,
1612228,39,24.15,Male,,
1612195,35,10.5,Male,,
1612220,6,31.275,Male,,
1612205,30.5,8.05,Male,,
1612224,,0,Male,,
1612205,23,,Male,,
1612196,31,37.0042,Male,,
1612225,43,6.45,Male,,
1612203,10,27.9,Male,,
1612199,52,93.5,Male,,
1612222,27,8.6625,Male,,
1612205,38,0,Male,,
1612199,27,12.475,Male,,
1612230,2,39.6875,Male,,
1612198,,6.95,Male,,
1612224,,56.4958,Male,,
1612210,1,37.0042,Male,,
1612213,,7.75,Male,,
1612229,62,80,Male,,
1612208,15,14.4542,Male,,
1612228,0.83,,Male,,
1612203,,7.2292,Male,,
1612201,23,7.8542,Male,,
1612220,18,8.3,Male,,
1612205,39,83.1583,Male,,
1612202,21,8.6625,Male,,
1612211,,8.05,Female,,
1612224,32,56.4958,Male,,
1612225,,29.7,Male,,
1612215,20,7.925,,,
1612212,16,10.5,Male,,
1612218,30,31,,,
1612205,34.5,6.4375,,,
1612224,17,8.6625,Female,,
1612195,42,7.55,Male,,
1612220,,69.55,Male,,
1612216,35,7.8958,Female,,
1612226,28,33,Male,,
1612204,,89.1042,Female,,
1612196,4,31.275,Male,,
1612227,74,7.775,Male,,
1612220,9,15.2458,Female,,
1612215,16,39.4,Male,,
1612201,44,26,Male,,
1612228,18,9.35,Female,,
1612196,45,164.8667,Male,,
1612202,51,26.55,Male,,
1612205,24,19.2583,Female,,
1612195,,7.2292,Male,,
1612216,41,,Male,,
1612201,21,11.5,Female,,
1612218,48,25.9292,Male,,
1612212,,69.55,Male,,
1612217,24,13,Female,,
1612220,42,13,Female,,
1612230,27,13.8583,Male,,
1612208,31,50.4958,Female,,
1612197,,9.5,Male,,
1612195,4,11.1333,Male,,
1612205,26,7.8958,Male,,
1612217,47,,Male,,
1612227,33,5,Male,,
1612222,47,9,Male,,
1612217,28,24,,,
1612221,15,7.225,Male,,
1612230,20,9.8458,Female,,
1612216,19,7.8958,Male,,
1612227,,,Male,,
1612217,56,83.1583,Female,,
1612209,25,26,Male,,
1612221,33,7.8958,Female,,Female
1612201,22,10.5167,Female,,
1612211,28,10.5,Male,,
1612224,25,7.05,Female,,
1612225,39,29.125,Male,,
1612222,27,13,Male,,
1612224,19,30,Male,,
1612223,,23.45,Male,,
1612227,26,,Male,,
1612218,32,7.75,Male,,
